ID,TimeControl,Date,ECO,Color,Result,OpponentGlicko,UserGlicko,termination
BLtGkDHp,900+10,2025-08-18,D06,White,Loss,1359,1235,Normal
glZo6g7B,900+10,2025-08-18,C44,Black,Loss,1159,1242,Normal
tGryHbBd,900+10,2025-08-18,D02,Black,Loss,1249,1248,Normal
nTllS33J,900+10,2025-08-18,D21,White,Loss,1233,1254,Normal
0ri8Fnh3,900+10,2025-08-18,D02,Black,Loss,1383,1257,Normal
vupCE4bZ,900+10,2025-08-18,C02,White,Loss,1274,1263,Normal
7SzyZVhx,900+10,2025-08-18,C00,White,Loss,1382,1266,Normal
b0AnmHQ3,900+10,2025-08-17,D22,White,Win,1278,1260,Time forfeit
B0WPXJ3n,900+10,2025-08-17,C58,Black,Win,1265,1254,Normal
R7m32j7i,900+10,2025-08-17,A22,Black,Win,1266,1250,Normal
hCvfTq2G,900+10,2025-08-17,B01,Black,Loss,1244,1255,Normal
DyqvyU0p,900+10,2025-08-17,B01,White,Loss,1346,1260,Normal
psB57UeY,900+10,2025-08-16,D01,White,Win,1500,1256,Normal
5Bk2twXd,900+10,2025-08-16,D02,Black,Win,1231,1250,Normal
e9KIrTHP,900+10,2025-08-16,D01,Black,Win,1239,1244,Time forfeit
r949FRKK,900+10,2025-08-16,B12,White,Loss,1264,1250,Normal
LJxlMyrD,900+10,2025-08-16,C23,Black,Loss,1307,1255,Normal
uH33hlBF,900+10,2025-08-16,A40,White,Loss,1276,1260,Normal
35P1slXu,900+10,2025-08-16,B00,Black,Win,1177,1255,Normal
F7rK4C4X,900+10,2025-08-15,A06,Black,Win,1174,1251,Normal
Tb9CyABm,900+10,2025-08-15,C40,White,Loss,1278,1256,Normal
SKsr1uOY,900+10,2025-08-15,D00,Black,Win,1285,1250,Normal
agltTOmk,900+10,2025-08-15,C54,White,Loss,1240,1255,Normal
vXnk6X2r,900+10,2025-08-15,C44,Black,Win,1213,1250,Normal
CnknaI41,900+10,2025-08-15,C50,White,Loss,1276,1255,Normal
y50SmQ5i,900+10,2025-08-15,B13,White,Win,1280,1250,Normal
aiu9x8yP,900+10,2025-08-15,C50,Black,Loss,1231,1257,Normal
Ga8VjkFQ,900+10,2025-08-15,C24,Black,Win,1219,1251,Normal
a5InIJA9,900+10,2025-08-15,C53,White,Loss,1246,1257,Normal
00cSJUsA,900+10,2025-08-14,A00,Black,Draw,1235,1258,Normal
V63mkT1x,900+10,2025-08-14,C41,White,Win,1253,1252,Normal
cvCmbC5h,600+0,2025-08-14,B01,Black,Win,1215,1247,Normal
aFB2dPMc,900+10,2025-08-14,B01,Black,Win,1205,1242,Normal
FwfOV3kk,900+10,2025-08-14,C54,White,Loss,1192,1249,Normal
np0SwraB,900+10,2025-08-14,B01,Black,Loss,1223,1255,Time forfeit
tHhf9teJ,900+10,2025-08-13,C41,White,Win,1231,1249,Normal
K7j1y0eo,900+10,2025-08-13,B12,White,Loss,1311,1254,Normal
lEVaNXQ0,900+10,2025-08-13,B01,Black,Win,1233,1249,Normal
Y97Zs1pN,900+10,2025-08-13,C53,White,Win,1119,1245,Normal
xewCtb2H,900+10,2025-08-13,B01,Black,Loss,1222,1251,Normal
LrmzYq36,900+10,2025-08-13,C47,Black,Loss,1241,1257,Normal
EzqW966t,900+10,2025-08-13,C50,White,Draw,1263,1257,Normal
tJgKPgC5,900+10,2025-08-13,B01,Black,Win,1341,1250,Normal
XnbpzfOc,900+10,2025-08-13,D00,Black,Win,1258,1246,Time forfeit
dvl7xtYR,900+10,2025-08-12,C50,White,Win,1260,1240,Normal
KlsWXGoS,900+10,2025-08-12,B13,White,Loss,1330,1244,Normal
q8OFdHxu,900+10,2025-08-12,D00,Black,Win,1255,1238,Normal
mVCEv4e1,900+10,2025-08-12,C54,White,Win,1194,1233,Normal
sghUkQjy,900+10,2025-08-12,C65,Black,Loss,1235,1239,Normal
qUCbJuE5,900+10,2025-08-12,C54,White,Loss,1296,1244,Normal
60IJr89Z,900+10,2025-08-11,C45,Black,Win,1199,1239,Normal
izjcBtBF,900+10,2025-08-11,C54,White,Win,1224,1233,Normal
K85NUuVz,900+10,2025-08-11,C54,White,Win,1223,1228,Normal
Pj0rODDU,900+10,2025-08-11,C42,Black,Win,1178,1222,Normal
t57kDB8J,900+10,2025-08-10,D12,Black,Win,1199,1217,Normal
iWFi11n1,900+10,2025-08-10,B27,White,Loss,1154,1224,Normal
qCcxhNmM,900+10,2025-08-10,C50,White,Win,1214,1218,Normal
Mk8Xg7Xq,900+10,2025-08-10,C54,Black,Loss,1219,1224,Normal
AOM0ULn1,900+10,2025-08-09,D00,Black,Win,1228,1218,Normal
FGq7p05g,900+10,2025-08-09,B13,White,Win,1268,1211,Normal
vssaZXyk,900+10,2025-08-09,C20,Black,Win,1201,1206,Normal
BVMw2dcG,900+10,2025-08-09,C50,White,Loss,1195,1212,Normal
x999x7BV,900+10,2025-08-09,D00,Black,Win,1211,1206,Normal
YZf5C1W7,900+10,2025-08-09,B03,White,Win,1218,1200,Normal
